text,label,type,is_money
mua sách truyện manga ầm ầm #1581 122k,Entertainment,expense,1
mua thuốc uống cảm cúm vibe đỉnh #4657 290.000 đồng,Health,expense,1
rau hữu cơ bách hóa xanh ngon nhức nách 439.000 đồng,Food,expense,1
vitamin c trắng da chill chill 236k,Health,expense,1
sổ tay bullet journal cứu rỗi tâm hồn #4990 346k,Shopping,expense,1
popmart blindbox cháy phố #8502 68k,Shopping,expense,1
phở cuốn #2883 146k,Food,expense,1
thu nhập affliate tiktok shop xu cà na #1097 3.7Tr,Business,income,1
yến mạch giảm cân vô tri #2427 107 ngàn,Food,expense,1
thuê xe máy đi phượt ét ô ét #6497 219K,Transport,expense,1
son tint bóng đỉnh nóc kịch trần 117k,Beauty,expense,1
thịt bò ba chỉ vô tri #433 469k,Food,expense,1
săn áo thun t-shirt flexing #8944 467k,Shopping,expense,1
kimbap siêu dài flexing 148.000 đồng,Food,expense,1
mua bút highlight cháy phố #5350 490K,Education,expense,1
mua cây decor phòng ngủ over hợp #6408 49 ngàn,Housing,expense,1
lệ phí thi lại môn cứu rỗi tâm hồn #9774 297 cành,Education,expense,1
hủ tiếu gõ healing #7651 370 ngàn,Food,expense,1
kệ để đồ mĩ phẩm over hợp #590 118 ngàn,Shopping,expense,1
tiền xăng xe tay ga slay #5869 75k,Transport,expense,1
bia chill cùng bạn đỉnh nóc kịch trần #1088 403k,Food,expense,1
bút calligraphy ét ô ét #5488 106 ngàn,Shopping,expense,1
sữa rửa mặt cetaphil cứu rỗi tâm hồn #6047 140k,Beauty,expense,1
đồ ăn vặt cổng trường vibe đỉnh 253k,Food,expense,1
lương thực tập sinh bèo bọt vibe đỉnh #1045 2.1củ,Salary,income,1
thuê gia sư kèm 1-1 slay #3615 263k,Education,expense,1
thưởng sinh nhật công ty kiếp nạn thứ 82 #8536 639k,Bonus,income,1
lương admin fanpage vibe đỉnh #9703 7095K,Salary,income,1
hôm nay trời đẹp ghê,Social,expense,0
xiên bẩn kiếp nạn thứ 82 #4624 340k,Food,expense,1
đi siêu thị go sắm đồ healing #2050 44 cành,Shopping,expense,1
sửa vòi nước hỏng ngon nhức nách #7049 115k,Housing,expense,1
lương làm trợ giảng kiếp nạn thứ 82 #6486 10.2tr,Salary,income,1
vớ tất cao cổ 320 ngàn,Shopping,expense,1
mua khóa học udemy kiếp nạn thứ 82 194k,Education,expense,1
hát karaoke cháy máy over hợp #7277 186k,Entertainment,expense,1
mua mũ bảo hiểm có kính cứu rỗi tâm hồn 453k,Transport,expense,1
tiền đóng bảo hiểm y tế healing 85K,Health,expense,1
serum trị mụn cứu rỗi tâm hồn #2582 58k,Beauty,expense,1
tiền cà phê giao lưu đối tác kiếp nạn thứ 82 11.000 đồng,Investment,expense,1
tiền bonus từ khách hàng cứu rỗi tâm hồn 3350 cành,Bonus,income,1
thưởng nhân viên xuất sắc ét ô ét #1524 11274 cành,Bonus,income,1
đi siêu thị go sắm đồ xu cà na #291 37k,Shopping,expense,1
thu nhập affliate tiktok shop ngon nhức nách 12.4củ,Business,income,1
lẩu haidilao cứu rỗi tâm hồn #4777 95k,Food,expense,1
kẹp bấm mi xịn vibe đỉnh #4410 294.000 đồng,Beauty,expense,1
lệ phí thi lại môn chill chill #2436 280 ngàn,Education,expense,1
học phí học lái xe ô tô đỉnh nóc kịch trần 21 cành,Education,expense,1
lương thực tập sinh bèo bọt ầm ầm 2148 cành,Salary,income,1
đi bar pub quẩy mlem mlem 383K,Entertainment,expense,1
tiền mừng cưới bạn thân slay 58k,Social,expense,1
sữa chua hy lạp xu cà na #5888 486K,Food,expense,1
mua thực phẩm chức năng omega3 healing 456k,Health,expense,1
săn áo thun t-shirt kiếp nạn thứ 82 #7651 180K,Shopping,expense,1
bún đậu mắm tôm ngon nhức nách kiếp nạn thứ 82 #9702 46 cành,Food,expense,1
mua bông y tế tẩy trang cứu rỗi tâm hồn #9256 385k,Health,expense,1
túi sưởi mini cứu rỗi tâm hồn #514 66k,Shopping,expense,1
mua mũ bảo hiểm có kính đỉnh nóc kịch trần 145K,Transport,expense,1
nạp thẻ game liên quân gét gô #550 131 cành,Entertainment,expense,1
nem chua rán đỉnh nóc kịch trần #6902 41k,Food,expense,1
sửa vòi nước hỏng vô tri #3407 58k,Housing,expense,1
trà sữa gongcha mlem mlem #3464 318 cành,Food,expense,1
mua khóa học tik tok master xịn xò 282 ngàn,Education,expense,1
matcha latte xịn sò ét ô ét #1797 57k,Food,expense,1
học phí đại học khóc thét chill chill #4800 312k,Education,expense,1
kem chống nắng nâng tông mlem mlem #1554 24k,Beauty,expense,1
bún đậu mắm tôm ngon nhức nách slay 415 ngàn,Food,expense,1
tiền mua đồ thắp hương over hợp #138 132K,Investment,expense,1
đi đu idol kpop cháy phố #6038 450k,Entertainment,expense,1
bún đậu mắm tôm ngon nhức nách healing #5053 253K,Food,expense,1
thảm lau chân dễ thương #4484 263.000 đồng,Shopping,expense,1
tiền thuê phòng trọ vô tri #8994 238 cành,Housing,expense,1
phòng lướt net net cỏ vibe đỉnh #8155 464k,Entertainment,expense,1
đế đỡ điện thoại flexing #2748 117k,Shopping,expense,1
tiền phạt vi phạm giao thông flexing #2951 357K,Transport,expense,1
hát karaoke cháy máy cháy phố #4474 336K,Entertainment,expense,1
bún bò huế full topping flexing #5480 185k,Food,expense,1
thưởng tết âm lịch ấm áp slay #9178 6.564.000 đồng,Bonus,income,1
thảm lau chân dễ thương xịn xò 477k,Shopping,expense,1
mua nước súc miệng listerine slay 184K,Health,expense,1
cơm hộp tiện lợi over hợp #8803 478k,Food,expense,1
ức gà ăn kiêng kiếp nạn thứ 82 #2868 467k,Food,expense,1
bút calligraphy kiếp nạn thứ 82 #8203 310K,Shopping,expense,1
mua quà tạ lỗi bồ 76K,Social,expense,1
trà chanh giã tay cháy phố #3259 109k,Food,expense,1
tiền thưởng dự án xuất sắc healing #7939 6.3Tr,Bonus,income,1
mua máy sấy tóc chill chill #9205 213 ngàn,Housing,expense,1
trà sữa phúc long vibe đỉnh #2795 371k,Food,expense,1
book phòng homestay đà lạt ét ô ét #4650 105 ngàn,Transport,expense,1
hôm nay trời đẹp ghê,Housing,expense,0
sữa rửa mặt cetaphil cứu rỗi tâm hồn #7005 105 cành,Beauty,expense,1
mua quần áo local brand mlem mlem #9755 414k,Shopping,expense,1
lãi gửi tiết kiệm ngân hàng xu cà na #1457 12.7Tr,Business,income,1
thưởng tết âm lịch ấm áp hết nấc 9587k,Bonus,income,1
popmart blindbox cứu rỗi tâm hồn #714 470k,Shopping,expense,1
lương admin fanpage ầm ầm #4569 11.6Tr,Salary,income,1
cà phê muối ầm ầm 257k,Food,expense,1
đặt xe grabbike slay 14K,Transport,expense,1
phí dịch vụ chung cư healing #5394 465k,Housing,expense,1
