text,intent,action_type
nói chuyện dễ thương hơn đi,action,SET_TONE
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
mở cài đặt,action,SYSTEM_SETTING
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
đổi giọng sang hài hước,action,SET_TONE
sửa giao dịch cuối thành 500k,action,UPDATE_RECORD
mỗi tháng mình kiếm 500k,action,SET_INCOME
hủy hóa đơn mới nhất,action,DELETE_LAST
set tone dặn dỗi,action,SET_TONE
tắt thông báo chi tiêu,action,SET_ALERT
thống kê chi tiêu tuần trước,action,REPORT_INCOME
tư vấn hạn mức cho mình,action,SUGGEST
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
save goal mua laptop 2 triệu,action,SET_GOAL
giảm limit còn 5 triệu,action,LIMIT
hủy hóa đơn mới nhất,action,DELETE
set income 2 triệu,action,SET_INCOME
chuyển style nói chuyện nhé,action,TONE
tìm record năm nay,action,SEARCH
mỗi tháng mình kiếm 5 triệu,action,SET_INCOME
nhắc mình khi vượt ngân sách,action,SET_ALERT
tìm giao dịch giáo dục,action,SEARCH
undo giao dịch cuối,action,DELETE_LAST
cộng thêm 100k vào hạn mức,action,SET_LIMIT
chuyển style nói chuyện nhé,action,SET_TONE
update record vừa nhập,action,EDIT
để dành 500k nha,action,GOAL
thống kê chi tiêu 15-06-2026,action,REPORT_INCOME
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
mở cài đặt,action,SYSTEM_SETTING
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
tìm giao dịch giải trí,action,SEARCH
xem report ăn uống hôm qua,action,REPORT
thống kê chi tiêu thứ 3,action,REPORT_GENERAL
cộng thêm 200k vào hạn mức,action,SET_LIMIT
chuyển style nói chuyện nhé,action,TONE
cộng thêm 200k vào hạn mức,action,SET_LIMIT
thống kê chi tiêu 15-06-2026,action,REPORT_COMPARE
đổi giọng sang dễ thương,action,TONE
xem report giải trí tuần này,action,REPORT_GENERAL
thu nhập tháng này 1 triệu,action,SET_INCOME
gọi mình là Mimo Master nhé,action,SET_USERNAME
sửa giao dịch cuối thành 100k,action,UPDATE_RECORD
lương của mình là 5 triệu,action,SET_INCOME
cho t xem báo cáo thứ 6,action,REPORT_GENERAL
hủy hóa đơn mới nhất,action,DELETE_LAST
chỉnh lại ghi chú nha,action,UPDATE_RECORD
xóa record cuối giúp mình,action,DELETE
set tone châm chọc,action,TONE
chỉnh lại ghi chú nha,action,EDIT
thống kê chi tiêu 7 ngày qua,action,REPORT_GENERAL
xóa record cuối giúp mình,action,DELETE
cho t xem báo cáo tháng trước,action,REPORT_GENERAL
undo giao dịch cuối,action,DELETE
thống kê chi tiêu hôm nay,action,REPORT_COMPARE
tìm record thứ 2,action,SEARCH
cho t xem báo cáo chủ nhật,action,REPORT_GENERAL
search hóa đơn trên 500k,action,SEARCH
tư vấn hạn mức cho mình,action,SUGGEST
tìm record thứ 2,action,SEARCH
chuyển giao diện sáng,action,SYSTEM_SETTING
gợi ý ngân sách tháng sau,action,SUGGEST
mục tiêu du lịch 100k trước 23-12-2025,action,GOAL
chỉnh lại ghi chú nha,action,EDIT
xóa record cuối giúp mình,action,DELETE
đặt hạn mức mua sắm 2 triệu,action,LIMIT
thống kê chi tiêu năm nay,action,REPORT_INCOME
đặt hạn mức mua sắm 100k,action,SET_LIMIT
undo giao dịch cuối,action,DELETE_LAST
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
cộng thêm 50k vào hạn mức,action,LIMIT
set limit giải trí 10 triệu mỗi tháng,action,LIMIT
xem report ăn uống tuần trước,action,REPORT_INCOME
thống kê chi tiêu quý 1 năm nay,action,REPORT_COMPARE
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
chuyển giao diện sáng,action,SYSTEM_SETTING
tìm record 7 ngày qua,action,SEARCH
từ giờ gọi t là Boss,action,SET_USERNAME
tìm record 23-12-2025,action,SEARCH
bật cảnh báo đi lại,action,SET_ALERT
sửa giao dịch cuối thành 5 triệu,action,UPDATE_RECORD
chuyển style nói chuyện nhé,action,TONE
thống kê chi tiêu quý 1 năm nay,action,REPORT_GENERAL
check tiền đã xài chủ nhật đi,action,REPORT_GENERAL
mở cài đặt,action,SETTING
set limit ăn uống 50k mỗi tháng,action,SET_LIMIT
đặt hạn mức giải trí 1 triệu,action,SET_LIMIT
alert hạn mức cho ăn uống,action,SET_ALERT
tắt chế độ tối,action,SETTING
tìm giao dịch nhà ở,action,SEARCH
xóa giao dịch vừa nhập,action,DELETE
check tiền đã xài 01-01-2026 đi,action,REPORT_INCOME
gợi ý ngân sách tháng sau,action,SUGGEST
xem report ăn uống hôm nay,action,REPORT
chuyển giao diện sáng,action,SYSTEM_SETTING
mở cài đặt,action,SETTING
tắt thông báo chi tiêu,action,SET_ALERT
thống kê chi tiêu cuối tuần,action,REPORT_INCOME
chuyển giao diện sáng,action,SETTING
cho t xem báo cáo tuần trước,action,REPORT_GENERAL
chuyển style nói chuyện nhé,action,TONE
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
alert hạn mức cho giáo dục,action,SET_ALERT
cho t xem báo cáo hôm qua,action,REPORT_INCOME
tìm giao dịch đi lại,action,SEARCH
set tone dễ thương,action,TONE
