[!] Category Mismatches for TF-IDF:
  - Text: 'Đi chợ mua thức ăn hết 300k' | True: 'Food' | Pred: 'Essentials'
  - Text: 'Đi spa chăm sóc da 1 triệu' | True: 'Beauty' | Pred: 'Entertainment'
  - Text: 'Đi nhậu với đồng nghiệp 400k' | True: 'Social' | Pred: 'Entertainment'
  - Text: 'Nhập hàng để bán 5 triệu' | True: 'Business' | Pred: 'Investment'
  - Text: 'Chi tiêu lặt vặt 50k' | True: 'Others' | Pred: 'None'
  - Text: 'Chốt đơn hàng 3 triệu' | True: 'Business' | Pred: 'Shopping'
  - Text: 'Lãi tiết kiệm 200k' | True: 'Business' | Pred: 'Savings'
  - Text: 'Trúng số 100 ngàn' | True: 'Bonus' | Pred: 'Food'
  - Text: 'Tổng kết tiền ăn uống hôm nay' | True: 'Food' | Pred: 'None'
  - Text: 'Thống kê khoản mua sắm trong tháng trước' | True: 'Shopping' | Pred: 'None'
[!] Category Mismatches for PhoBERT:
  - Text: 'Đi chợ mua thức ăn hết 300k' | True: 'Food' | Pred: 'Essentials'
  - Text: 'Đi siêu thị mua kem đánh răng 45 ngàn' | True: 'Essentials' | Pred: 'Entertainment'
  - Text: 'Mua thỏi son 400k tặng mình' | True: 'Beauty' | Pred: 'Social'
  - Text: 'Đóng tiền tập gym 3 tháng 1 triệu 5' | True: 'Health' | Pred: 'Housing'
  - Text: 'Đi nhậu với đồng nghiệp 400k' | True: 'Social' | Pred: 'Entertainment'
  - Text: 'Chi tiêu lặt vặt 50k' | True: 'Others' | Pred: 'Essentials'
  - Text: 'Nhận lương tháng mười 15 triệu' | True: 'Salary' | Pred: 'Bonus'
  - Text: 'Lương làm thêm 2 triệu' | True: 'Salary' | Pred: 'None'
  - Text: 'Chốt đơn hàng 3 triệu' | True: 'Business' | Pred: 'Investment'
  - Text: 'Lãi tiết kiệm 200k' | True: 'Business' | Pred: 'Investment'
[!] Category Mismatches for Qwen 2.5-14B LoRA Fine-tuned:
  - Text: 'Gửi tiền tiết kiệm 5 triệu' | True: 'Savings' | Pred: 'None'
  - Text: 'Lương làm thêm 2 triệu' | True: 'Salary' | Pred: 'None'
  - Text: 'Được thưởng dự án 5 triệu' | True: 'Bonus' | Pred: 'None'
  - Text: 'Chốt đơn hàng 3 triệu' | True: 'Business' | Pred: 'Shopping'
  - Text: 'Lãi tiết kiệm 200k' | True: 'Business' | Pred: 'Savings'
  - Text: 'Trúng số 100 ngàn' | True: 'Bonus' | Pred: 'None'
  - Text: 'Được mẹ cho 500k' | True: 'Bonus' | Pred: 'None'
  - Text: 'Tổng kết tiền ăn uống hôm nay' | True: 'Food' | Pred: 'None'
  - Text: 'Thống kê khoản mua sắm trong tháng trước' | True: 'Shopping' | Pred: 'None'
  - Text: 'Xem chi phí di chuyển quý này' | True: 'Transport' | Pred: 'None'
